012.208-0.101	012.208-0.101, [GPD88] 012.208-0.101, 
IRAS00486+3406	 V* RR And, AN 69.1901, BD+33 116a, CSI+33 116 2, CSS 17, DO 8539, GCRV 481, GSC 02284-00390, HD 4895, IRAS 00486+3406, 2MASS J00512328+3422363, S1* 15, Vy 8, AAVSO 0046+33, 
IRAS00494+5617	 NGC 281, C 0049+563, Ced 3, CTB 7, DA 25, IRAS 00494+5617, LBN 616, LBN 123.17-06.28, NGC 281W, OCISM 68, OCl 313.0, OCl 313, SH 2-184, GS55 8, 
IRAS00498+4708	 V* RV Cas, AN 41.1905, CSI+47-00499, GCRV 489, GPM 13.178050+47.415710, HD 5016, IRAS 00498+4708, IRC +50016, 2MASS J00524275+4724561, RAFGL 122, AAVSO 0047+46A, 
IRAS00503+6445	 NSV 15193, GSC 04025-00239, IRAS 00503+6445, LD 89, 2MASS J00532514+6501559, 
IRAS00519+5817	 V* W Cas, BD+57 165, C* 38, Case 502, CGCS 136, GCRV 509, GSC 00368-01824, HD 5235, HIC 4284, HIP 4284, IRAS 00519+5817, IRC +60026, Kiso C1-115, 2MASS J00545384+5833492, RAFGL 4062S, SKY# 1401, USNO-A1.0 1425-01292841, KW97 4-28, AAVSO 0049+58, 
IRAS00525+2417	IRAS 00525+2417, HR 259, NSV 346, 
IRAS00534+6031	 V* V867 Cas, IRAS 00534+6031, IRCO 2588, 2MASS J00562829+6047094, NSV 15205, I81 M 682, MLC92 7, 
IRAS00570+2740	 V* W Psc, AN 7.1911, HIC 4652, HIP 4652, IRAS 00570+2740, 2MASS J00594645+2756445, AAVSO 0054+27, 
IRAS00578+5620	IRAS 00578+5620, V365, IRC +60033, 
IRAS00581-0155	IRAS 00581-0155, CR_Cet, IRC +00014, 
IRAS01037+1219	 V* WX Psc, CIT 3, IRAS 01037+1219, IRC +10011, JP11 5528, 2MASS J01062598+1235530, OH 128.6 -50.1, RAFGL 157, LFO93 0103+12, PCC93 12, TVH89 3, 
IRAS01042-0144	 V* Z Cet, AN 156.1904, CSI-01-01041, GCRV 638, GEN# +1.00006592, HD 6592, IRAS 01042-0144, PPM 701131, AAVSO 0101-02, 
IRAS01045+6505	 WB89 380, GAL 124.64+02.54, IRAS 01045+6505, IRCO 2698, 
IRAS01085+3022	 V* AW Psc, IRAS 01085+3022, IRC +30021, NSV 426, RAFGL 168, LFO93 0108+30, PCC93 14, 
IRAS01092-3022	 V* U Scl, CD-30 375, GSC 06999-00067, IRAS 01092-3022, TTC90 29, AAVSO 0106-30, 
IRAS01094+2157	 V* X Psc, AN 8.1911, CSI+21-01094, DO 8682, GCRV 691, HD 7160, IRAS 01094+2157, RAFGL 170S, AAVSO 0106+21A, 
IRAS01100+5935	IRAS 01100+5935, V461 Cas, 
IRAS01123+6430	 IRAS 01123+6430, GAL 125.52+02.03, IRCO 2789, WB89 386, PCC93 15, ZPT98 125.52+02.03, 
IRAS01126+4027	 V* U And, BD+39 291a, DO 8696, GCRV 725, HD 7482, IRAS 01126+4027, AAVSO 0109+40, 
IRAS01133+4129	 V* UZ And, AN 6.1907, CSI+41-01132, GCRV 727, HD 7540, IRAS 01133+4129, SV* HV 1306, AAVSO 0110+41A, 
IRAS01133+5607	 V* VZ Cas, AN 14.1918, BD+55 275, GSC2 N311321130273, IRAS 01133+5607, 2MASS J01162830+5623434, SV* SVS 5, KW97 5-16, AAVSO 0110+55A, 
IRAS01133+6434	 FT96 125.6+2.1, IRAS 01133+6434, IRAS 0113+645P09, IRCO 2799, 2MASS J01163754+6450408, WB89 388, 
IRAS01134+6429	 ZPT98 125.63+02.02, GAL 125.63+02.02, IRAS 01134+6429, IRCO 2805, WB89 389, CF95 2, PCC93 17, 
IRAS01144+6658	 V* V829 Cas, CGCS 6017, IRAS 01144+6658, IRCO 2786, MSX5C G125.4909+04.4917, RAFGL 190, LFO93 0114+66, 
IRAS01149+0840	 V* S Psc, BD+08 203, GC 1557, GCRV 27310, GSC 00613-00881, HD 7773, IRAS 01149+0840, IRC +10014, 2MASS J01173454+0855525, RAFGL 5045, SAO 109789, TYC 613-881-1, AAVSO 0112+08, 
IRAS01159+7220	 V* S Cas, BD+71 66, CSS 28, DIRBE D01194198P7236407, GC 1579, GCRV 751, GSC 04305-01322, HD 7769, IRAS 01159+7220, IRC +70024, RAFGL 194, S1* 21, SAO 4374, C97 5, FT96 125.1+9.9, KW97 5-28, LFO93 0115+72, LMW2001 793, AAVSO 0112+72, 
IRAS01201+2507	 V* TZ Psc, IRAS 01201+2507, SV* P 37, SV* R 181, AAVSO 0117+24, 
IRAS01202+1236	 V* U Psc, BD+12 170a, CSI+12 170 2, GCRV 51534, GSC 00620-00561, IRAS 01202+1236, 2MASS J01225848+1252040, AAVSO 0117+12, 
IRAS01217+6049	 V* BT Cas, AN 368.1931, IRAS 01217+6049, IRC +60048, IRCO 2952, RAFGL 211, SV* SVS 277, AAVSO 0118+60, 
IRAS01229+2108	 V* RX Psc, CSS 32, GSC 01204-01347, IRAS 01229+2108, SV* HV 3670, AAVSO 0120+20, 
IRAS01260+6456	 IRAS 01260+6456, IRCO 2945, 
IRAS01265+4624	IRAS 01265+4624, CE And, 
IRAS01266+5035	 V* RZ Per, AN 156.1906, CSI+50-01266, CSS 36, GCRV 844, GSC 03277-01001, IRAS 01266+5035, S1* 27, AAVSO 0123+50, 
IRAS01280+0237	 V* R Psc, AG+02 158, BD+02 222, CSI+02 222 2, DO 230, EIC 23, GC 1830, GCRV 856, HD 9203, IRAS 01280+0237, IRC +00019, PPM 144683, RAFGL 226, SAO 109934, SKY# 2272, AAVSO 0125+02, 
IRAS01304+6211	 V* V669 Cas, IRAS 01304+6211, IRCO 3035, 2MASS J01335121+6226532, OH 127.8 -0.02, OH 127.8 +0.0, OH 127.82 -0.02, RAFGL 230, LFO93 0130+62, PCC93 19, TVH89 4, 
IRAS01305+4615	 V* SX And, AG+46 159, AN 51.1907, CSI+46-01306, GCRV 878, GSC 03278-01233, IRAS 01305+4615, IRC +50040, 2MASS J01333593+4631132, PPM 44126, SV* HV 2905, TYC 3278-1233-1, AAVSO 0127+46, 
IRAS01366+3905	 V* Y And, AG+39 170, AN 23.1900, BD+38 315, DO 8864, FBS 0136+390, GCRV 928, HD 10112, IRAS 01366+3905, PPM 66497, AAVSO 0133+38, 
IRAS01438+1850	IRAS 01438+1850, SV Psc, IRC +20029, 
IRAS01531+5900	 V* X Cas, BD+58 334a, C* 87, Case 53, CGCS 295, CSI+58 334 2, GCRV 1070, GSC 03696-02198, HIC 9057, HIP 9057, IRAS 01531+5900, IRC +60069, Kiso C1-201, LEE 245, 2MASS J01563809+5915336, RAFGL 270S, KW97 8-37, AAVSO 0149+58, 
IRAS01556+4511	 V* V370 And, AG+45 218, BD+44 398, DO 25105, GSC 03280-01860, HD 11979, HIC 9234, HIP 9234, IRAS 01556+4511, IRC +50049, 2MASS J01584432+4526071, PPM 44643, RAFGL 278, SAO 37673, SKY# 2902, TYC 3280-1860-1, DS98 28, LFO93 0155+45, PCC93 20, AAVSO 0153+44, 
IRAS01562+5434	 V* U Per, AG+54 222, BD+54 431, DO 25112, GC 2385, GCRV 1094, GEN# +1.00012025, GSC 03688-01392, HD 12025, HIC 9306, HIP 9306, IRAS 01562+5434, IRC +50050, 2MASS J01593514+5449199, PPM 26989, RAFGL 280, SAO 22817, SKY# 2921, SV* HV 5, TYC 3688-1392-1, YZ 54 921, KW97 8-57, AAVSO 0152+54, 
