012.208-0.101	012.208-0.101, [GPD88] 012.208-0.101, 
IRAS19508+2014	 MSX6C G058.0311-03.6046, IRAS 19508+2014, 2MASS J19530288+2022172, MSX5C G058.0307-03.6049, 
IRAS19508+2659	 PCC93 397, IRAS 19508+2659, 2MASS J19525786+2707447, MSX5C G063.8276-00.1241, MSX6C G063.8275-00.1242, 
IRAS19511+3935	 2MASS J19525163+3943263, HAT 199-02503, IRAS 19511+3935, 
IRAS19513+5511	 V* CU Cyg, AN 2.1926, CSI+55-19513, GCRV 70013, IRAS 19513+5511, SV* SVS 76, AAVSO 1950+55, 
IRAS19517+3654	 V* AG Cyg, AN 97.1910, CSI+36-19517 2, GCRV 70011, GSC 02681-02043, HAT 199-03869, IRAS 19517+3654, 2MASS J19533364+3702355, NOVA Cyg 1909, AAVSO 1949+36, 
IRAS19519+2527	 IRAS 19519+2527, 
IRAS19520+2759	 MSX5C G064.8134+00.1744, IRAS 19520+2759, 2MASS J19540586+2807406, 
IRAS19523+5629	 IRAS 19523+5629, 
IRAS19527+2231	 IRAS 19527+2231, MSX6C G060.2147-02.7951, 
IRAS19528-2919	 V* RR Sgr, CD-29 16646, CPD-29 6196, GCRV 12265, GSC 06903-02336, HD 188378, HIC 98077, HIP 98077, IRAS 19528-2919, IRC -30419, 2MASS J19555643-2911238, PPM 735743, RAFGL 5569, SV* HV 22, TYC 6903-2336-1, PCC93 399, AAVSO 1949-29, 
IRAS19534+2802	 IRAS 19534+2802, MSX6C G065.0168-00.0636, 
IRAS19535+3655	 V* IZ Cyg, AN 262.1930, CSI+36-19535, HAT 199-02480, IRAS 19535+3655, 2MASS J19552036+3703576, AAVSO 1951+36A, 
IRAS19536+3237	 V* V468 Cyg, AN 980.1935, GSC 02673-04122, IRAS 19536+3237, IRC +30400, 2MASS J19553815+3245338, RAFGL 5444S, AHB74 V 23, PCC93 400, AAVSO 1951+32, 
IRAS19546+1928	 V* RR Sge, AN 143.1905, IRAS 19546+1928, 2MASS J19565323+1937019, AAVSO 1952+19A, 
IRAS19548+3035	 2MASS J19564844+3044026, CGCS 6851, IRAS 19548+3035, IRAS 1954+305P09, RAFGL 2477, LFO93 1954+30, 
IRAS19550-0201	 V* RR Aql, CSI-02-19549, EIC 802, GCRV 12299, GSC 05151-01109, HD 188915, HIC 98220, HIP 98220, IRAS 19550-0201, IRC +00458, 2MASS J19573607-0153113, RAFGL 2479, LFO93 1955-02, LMW2001 446, LTY2003 NIRS 19550-0200, PCC93 401, TVH89 421, AAVSO 1952-02, 
IRAS19564-0801	 V* RS Aql, CSI-08-19564, GCRV 12317, HD 189191, IRAS 19564-0801, IRC -10527, 2MASS J19590658-0753025, RAFGL 5448S, SV* HV 58, UCAC2 29189073, AAVSO 1953-08, 
IRAS19566+3423	 MSX6C G070.7766+02.6836, IRAS 19566+3423, 2MASS J19583227+3431337, 2MASSI J1958322+343133, MSX5C G070.7763+02.6837, 
IRAS19572+5157	 V* CM Cyg, AN 11.1923, BD+51 2721, CSS 1180, GSC 03570-01787, IRAS 19572+5157, Kiso C3-4, 2MASS J19583424+5205459, S1* 630, SV* SVS 25, AAVSO 1955+51, 
IRAS19576+2814	 OH 65.7 -0.8, GLMP 960, IRAS 19576+2814, 2MASS J19593914+2823072, 2MASSI J1959391+282307, MSX5C G065.6693-00.7365, MSX6C G065.6705-00.7365, 
IRAS19583+3600	 V* KM Cyg, AN 329.1929, CSI+36-19584 2, GCRV 70192, IRAS 19583+3600, 2MASS J20001336+3608450, AAVSO 1956+35, 
IRAS19589+3320	 IRAS 19589+3320, S99, 
IRAS19598+3324	 WWB83 G070.29+1.60, GAL 070.29+01.60, GRS 070.30 +01.60, GRS 070.29 +01.60, IRAS 19598+3324, PK 070+01 1, PN K 3-50, PN ARO 118, W 58A, BE83 IR 070.29+01.60, KCW94 070.293+01.600, W69 B, 
IRAS20000+4954	 V* Z Cyg, BD+49 3160a, GCRV 12388, HD 190163, IRAS 20000+4954, IRC +50314, RAFGL 5456S, GS83 163, PCC93 405, TVH89 423, AAVSO 1958+49, 
IRAS20010+2508	 IRAS 20010+2508, 
IRAS20010+3011	 V* V718 Cyg, CSV 4999, GSC 02670-03287, IRAS 20010+3011, 2MASS J20030512+3020129, RAFGL 2498, SV* SON 3844, AHB74 Red 34, AHB74 V 27, 
IRAS20018+2133	 IRAS 20018+2133, 
IRAS20020+1739	 V* BL Sge, AN 367.1943, IRAS 20020+1739, SV* SON 3692, 
IRAS20023+2855	 OH 66.8 -1.3, GLMP 966, IRAS 20023+2855, 2MASS J20042073+2904065, MSX5C G066.7946-01.2472, MSX6C G066.7943-01.2472, 
IRAS20024+1727	 IRAS 20024+1727, 2MASS J20044035+1735566, 
IRAS20029+2759	 IRAS 20029+2759, 
IRAS20041+5013	 V* BU Cyg, AN 92.1920, CSI+50-20041, GCRV 70420, IRAS 20041+5013, 
IRAS20043+2653	 RAFGL 4259, GLMP 972, IRAS 20043+2653, MSX5C G065.3168-02.7143, MSX6C G065.3169-02.7141, 
IRAS20044+5750	 V* S Cyg, ADS 13385 BC, BD+57 2134, CCDM J20055+5800BC, CSI+57 2135 2, CSS 1191, GCRV 12472, IRAS 20044+5750, S1* 635, UBV 17303, AAVSO 2003+57, 
IRAS20047+1248	 V* SY Aql, AN 48.1906, BD+12 4228, DO 6464, GCRV 12479, HD 190970, IRAS 20047+1248, IRC +10450, 2MASS J20070539+1257063, SV* HV 1208, PCC93 406, AAVSO 2002+12, 
IRAS20050+0924	 V* HI Aql, AN 249.1930, IRAS 20050+0924, AAVSO 2002+09, 
IRAS20050+2720	IRAS 20050+2720, 
IRAS20051+3016	 IRAS 20051+3016, 
IRAS20052+0554	 V* V1416 Aql, EIC 813, IRAS 20052+0554, IRC +10451, NSV 12814, RAFGL 2511, 
IRAS20056+3350	 PBC91 B200536.0+335053, IRAS 20056+3350, CF95 46, HLB98 Onsala 118, 
IRAS20059+7318	IRAS 20059+7318, IM Dra, 
IRAS20062+3550	 IRAS 20062+3550, 
IRAS20067+3415	IRAS 20067+3415, 
IRAS20077-0625	 V* V1300 Aql, EIC 814, IRAS 20077-0625, IRC -10529, RAFGL 2514, LFO93 2007-06, LMW2001 428, LTY2003 NIRS 20077-0624, 
IRAS20079+2608	IRAS 20079+2608, W Vul, 
IRAS20081+3122	 KCW94 069.540-00.975, IRAS 20081+3122, OH 69.54 -0.98, OH 69.5 -1.0, Onsala 1, 
IRAS20084+2750	 IRAS 20084+2750, 
IRAS20084-1425	 V* R Cap, BD-14 5663, C* 2867, CGCS 4701, GC 28001, IRAS 20084-1425, RAFGL 5474S, SAO 163323, LMW2001 372, AAVSO 2005-14, 
IRAS20092+3557	 V* V429 Cyg, AN 524.1936, C* 2874, Case 203, CGCS 4729, CSI+35-20092 2, GSC 02683-01186, IRAS 20092+3557, IRC +40393, LEE 217, 2MASS J20110615+3606488, RAFGL 2519, USNO-A1.0 1200-14855074, ABC90 cya 76, AAVSO 2007+35A, 
IRAS20094+3721	 GSC 03151-00931, ** ALI 657B, CCDM J20113+3731B, GLMP 976, IDS 20076+3713 B, IRAS 20094+3721, 
IRAS20095+2028	 V* ST Sge, AN 170.1905, HBHA 2204-05, IRAS 20095+2028, KW97 43-25, AAVSO 2007+20A, 
IRAS20096+6648	 IRAS 20096+6648, CSV 5080, GSC 04244-00152, NSV 12872, SV* P 5342, V* EZ Dra, AAVSO 2008+66, 
IRAS20097+1107	 IRAS 20097+1107, 2MASS J20120916+1116516, PCC93 408, 
IRAS20097+2010	 V* FG Sge, ALS 10924, AN 377.1943, CSI+20-20097, CSV 5066, GEN# +8.02200019, GSC2 N0312322119, GSC 01626-00619, Hen 3-1844, Hen 2-457, Hen 1-5, HIC 99527, HIP 99527, IRAS 20097+2010, JP11 5474, LS II +20 19, 2MASS J20115606+2020044, PK 060-07 1, PN ARO 169, PN G060.3-07.3, SV* SON 3702, TYC 1626-619-1, UBV M 50884, AAVSO 2007+20, 
IRAS20099+3640	IRAS 20099+3640, 
IRAS20103+0608	 V* TV Aql, AN 19.1910, CSI+06-20104, EIC 818, GCRV 70620, HD 192082, IRAS 20103+0608, SV* HV 3222, AAVSO 2007+06, 
IRAS20104+1250	 V* RU Aql, BD+12 4256a, CSI+12 4256 2, DO 6551, GCRV 12568, HD 192081, IRAS 20104+1250, IRC +10458, AAVSO 2008+12, 
IRAS20106+3545	IRAS 20106+3545, 
IRAS20109+3205	IRAS 20109+3205, V557 Cyg, 
IRAS20110+3321	 IRAS 20110+3321, 
IRAS20110+3321	 IRAS 20110+3321, 2MASS J20130258+3330079, 
IRAS20113+4917	 V* AC Cyg, AG+49 1637, AN 283.1904, BD+49 3225, DO 38179, GCRV 27192, GSC 03567-01285, HD 192440, IRAS 20113+4917, IRC +50318, 2MASS J20124981+4927031, PPM 59508, RAFGL 2526, SAO 49327, SV* HV 2974, SV* HV 1164, TYC 3567-1285-1, PCC93 409, AAVSO 2009+49, 
IRAS20114+7702	 V* SZ Cep, AN 29.1913, BD+76 784, CSS 1200, GSC 04589-02230, HD 193028, IRAS 20114+7702, 2MASS J20095759+7711094, S1* 640, SV* HV 3411, AAVSO 2013+76, 
IRAS20115+3834	IRAS 20115+3834, RS Cyg, 
IRAS20115-2207	 IRAS 20115-2207, 
IRAS20118+3107	 IRAS 20118+3107, 
IRAS20120+3752	 IRAS 20120+3752, 
IRAS20120+3752	IRAS 20120+3752, 
IRAS20123+0429	 IRAS 20123+0429, 
IRAS20124-0618	 V* Z Aql, BD-06 5419, GCRV 12614, IRAS 20124-0618, 2MASS J20151104-0609040, PPM 203821, SAO 144210, YZ 96 7143, AAVSO 2009-06, 
IRAS20125+0856	 V* R Del, AG+08 2744, BD+08 4385a, CSI+08 4385 2, DO 6581, GC 28119, GCRV 12613, HD 192502, HIC 99802, HIP 99802, IRAS 20125+0856, IRC +10459, 2MASS J20145514+0905208, PPM 169641, SAO 125610, SKY# 38165, AAVSO 2010+08, 
IRAS20126+4104	 GAL 078.12+03.64, IRAS 20126+4104, OH 78.12 +3.63, WFS 90, GSL2002 97, XT95 12, 
IRAS20135+3055	 V* SX Cyg, BD+30 3960a, EM* VES 127, GCRV 12631, HD 192788, IRAS 20135+3055, IRC +30423, 2MASS J20153353+3104200, RAFGL 2538, UBV M 51097, KW97 44-23, AAVSO 2011+30, 
IRAS20136+1309	 2MASS J20160051+1318562, GLMP 982, GSC2 N021120332398, IRAS 20136+1309, 
IRAS20137+2838	 IRAS 20137+2838, GLMP 983, 2MASS J20154765+2847549, MSX6C G067.9320-03.4954, PCC93 410, 
IRAS20139+2404	 V* V368 Vul, IRAS 20139+2404, LD 167, 2MASS J20160570+2413388, 
IRAS20143+3634	 IRAS20143+3634,
IRAS20144+3526	 VP95 WSRT1 38, GLMP 986, IRAS 20144+3526, 2MASS J20162196+3536062, PN PM 2-44, PCC93 411, 
IRAS20144+3726	 IRAS 20144+3726, 2MASS J20161456+3735295, 
IRAS20150+1000	 IRAS 20150+1000, 
IRAS20153+0751	 V* QZ Aql, IRAS 20153+0751, SV* R 274, AAVSO 2012+07, 
IRAS20156+2130	 IRAS 20156+2130, 
IRAS20159+3752	 NOVA Cyg 1600, * 34 Cyg, * P Cyg, AG+37 1953, ALS 11097, BD+37 3871, CEL 5017, EM* MWC 338, GC 28218, GCRV 12673, GEN# +1.00193237, Glazar Cyg 11, GSC 03151-03442, HBHA 3703-88, HD 193237, Hen 3-1871, HIC 100044, Hilt 916, HIP 100044, HR 7763, IRAS 20159+3752, JP11 3218, LS II +37 50, 2MASS J20174719+3801585, MCW 849, PLX 4837, PPM 84645, RAFGL 5493S, ROT 2959, SAO 69773, SKY# 38293, TD1 26474, TYC 3151-3442-1, UBV M 24719, UBV 21454, uvby98 100193237 V, V* P Cyg, BW2000 8, KW97 44-58, AAVSO 2014+37A, 
IRAS20166+3717	 V* WX Cyg, AN 59.1903, BD+37 3876, C* 2892, Case 207, CGCS 4806, DO 18843, GCRV 12679, HD 193368, Hen 3-1875, HIC 100113, HIP 100113, IRAS 20166+3717, IRC +40403, LEE 219, 2MASS J20183327+3726591, RAFGL 5495S, KW97 45-9, AAVSO 2014+37B, 
IRAS20169+5938	 V* CN Cyg, AG+59 1334, AN 14.1923, BD+59 2213s, CSI+59 2213 1, HIC 100048, HIP 100048, IRAS 20169+5938, 2MASS J20175366+5947335, SV* SVS 28, AAVSO 2015+59, 
IRAS20171+2732	 PCC93 412, IRAS 20171+2732, 2MASS J20191107+2742119, MSX5C G067.4382-04.7252, MSX6C G067.4383-04.7259, 
IRAS20180+4744	 V* U Cyg, AG+47 1562, BD+47 3077, C* 2894, Case 289, CCDM J20197+4754A, CGCS 4817, DO 38285, GC 28290, GCRV 12701, GEN# +1.00193680, HD 193680, HIC 100219, HIP 100219, IDS 20165+4734 A, IRAS 20180+4744, IRC +50324, JP11 3231, Kiso C3-18, LEE 321, 2MASS J20193659+4753389, PPM 59720, RAFGL 2556, ROT 7661, SAO 49477, UBV 21497, uvby98 100193680 V, KW97 45-20, AAVSO 2016+47, 
IRAS20181+2234	 IRAS 20181+2234, V* V371 Vul, 
IRAS20181+2927	 IRAS 20181+2927, 
IRAS20188+3928	 IRAS 20188+3928, 
IRAS20191+3723	 IRAS 20191+3723, 
IRAS20194+1707	 V* UW Del, AN 134.1930, IRAS 20194+1707, 2MASS J20214262+1717177, 
IRAS20198+3716	 TGC96 2019+3716, IRAS 20198+3716, WSRTGP 2019+3716, 
IRAS20206+3545	IRAS 20206+3545, 
IRAS20213+0047	 V* V865 Aql, BD+00 4492, CSS 1211, GSC 00497-00974, HIC 100599, HIP 100599, IRAS 20213+0047, IRC +00474, 2MASS J20235462+0056446, RAFGL 2568, S1* 646, SV* SON 8274, AAVSO 2018+00, 
IRAS20215+3725	 IRAS 20215+3725, 
IRAS20215+3725	 IRAS 20215+3725, 2MASS J20232729+3734539, 
IRAS20215+6243	 V* DX Dra, IRAS 20215+6243, IRC +60288, NSV 13056, RAFGL 2570, LMW2001 750, 
IRAS20220+3728	 IRAS 20220+3728, 
IRAS20220+3729	 IRAS 20220+3729, 
IRAS20231+3440	 IRAS 20231+3440, 
IRAS20234-1357	 LMW2001 377, IRAS 20234-1357, OH 30.7 -27.1, LFO93 2023-13, 
IRAS20241+1231	 V* RW Del, AG+12 2312, BD+12 4325, GCRV 71035, IRAS 20241+1231, PPM 138346, SV* R 278, AAVSO 2021+12, 
IRAS20241+3811	 V* KY Cyg, AN 339.1929, IRAS 20241+3811, IRC +40415, LEE 220, RAFGL 2575, PCC93 415, 
IRAS20246+1456	 V* WX Del, AN 151.1930, IRAS 20246+1456, 2MASS J20265669+1506019, AAVSO 2022+14, 
IRAS20246+2813	 IRAS 20246+2813, 2MASS J20264661+2823587, PCC93 416, 
IRAS20248-2825	IRAS 20248-2825, T Mic, 
IRAS20267+2105	 LFO93 2026+21, IRAS 20267+2105, 2MASS J20285710+2115370, OH 63.3 -10.2, 
IRAS20269+1244	 V* XZ Del, AN 155.1930, IRAS 20269+1244, AAVSO 2024+12, 
IRAS20275+4001	 IRAS 20275+4001, 
IRAS20275+4001	 MJF2000 A, IRAS 20275+4001, RAFGL 19, RAFGL 2591, BE83 IR 078.89+00.71, 
IRAS20276+1236	 V* RX Del, IRAS 20276+1236, SV* R 106, AAVSO 2025+12, 
IRAS20278+3521	IRAS 20278+3521, 
IRAS20280+2631	 IRAS 20280+2631, 2MASS J20300854+2641376, 
IRAS20287+1121	 V* RZ Del, IRAS 20287+1121, AAVSO 2026+11, 
IRAS20292+4611	IRAS 20292+4611, V2032 Cyg, 
IRAS20296-2151	 V* RU Cap, AN 99.1901, CD-22 14788, IRAS 20296-2151, IRC -20590, RAFGL 7118S, LMW2001 321, LTY2003 NIRS 20295-2153, AAVSO 2026-22, 
IRAS20300+3847	 IRAS 20300+3847, 
IRAS20303+1716	 V* Z Del, AG+17 2218, AN 16.1902, BD+16 4290, CSS 1226, GCRV 12843, HD 195763, Hen 4-229, IRAS 20303+1716, PPM 138552, S1* 652, AAVSO 2028+17, 
IRAS20305+6246	 V* BF Cep, AN 239.1940, IRAS 20305+6246, IRC +60292, RAFGL 2599, AAVSO 2029+62, 
IRAS20306+3749	 IRAS 20306+3749, 
IRAS20308+4104	 NAME VI CYG 12, ALS 11417, Cl* NGC 6910 RLP 10, CSI+41-20309 2, CXOCyg J203240.94+411428.8, DO 38538, 1E 203053+4104.2, 2E 2030.8+4104, 2E 4378, EM* AS 424, GEN# +8.03410034, GEN# +9.00030041, GEN# +9.00030012, GSC 03157-00785, HBHA 4203-50, HIC 101364, Hilt 992, HIP 101364, IRAS 20308+4104, IRC +40430, JP11 5836, JP11 5820, LS III +41 34, 2MASS J20324096+4114291, MHA 289-51, NSV 13138, RLP 41, ROE 960, Schulte 12, UBV M 51941, UBV M 50937, UBV 17827, AFM2007 60, HJ56 217, KW97 47-40, MHG2003 k, MT91 304, 
IRAS20312+5446	 V* ST Cyg, BD+54 2373a, GCRV 12853, HD 196070, IRAS 20312+5446, IRC +50332, RAFGL 5513S, KW97 47-39, 
IRAS20313+5406	 V* BV Cyg, AN 80.1920, IRAS 20313+5406, 
IRAS20332+5835	IRAS 20332+5835, BW Cyg, 
IRAS20350+5954	 V* V778 Cyg, C* 2919, CGCS 4923, CSI+59-20349, CSV 5242, GCRV 12899, GSC 04246-01005, IRAS 20350+5954, LEE 325, 2MASS J20360736+6005258, MSB 38, RAFGL 5524S, SV* SON 3839, TYC 4246-1005-1, USNO-A1.0 1500-07569325, PCC93 419, AAVSO 2034+59, 
IRAS20351+2618	 V* BD Vul, AN 133.1928, C* 2916, CGCS 4915, CSI+26-20352, GCRV 12901, Hen 3-1913, IRAS 20351+2618, LEE 221, SV* SVS 480, KW97 48-14, AAVSO 2033+26, 
IRAS20353+6742	 2MASX J20354603+6753021, IRAS F20353+6742, IRAS 20353+6742, 
IRAS20359+6745	IRAS 20359+6745, 
IRAS20366+2304	IRAS20366+2304, RU Vul 
IRAS20369+3742	 V* FF Cyg, CSI+37-20370, CSS 1232, GCRV 71276, GSC 03153-00480, Hen 4-231, Hen 3-1916, IRAS 20369+3742, IRC +40437, 2MASS J20385170+3753232, RAFGL 5528S, RAFGL 5528, S1* 655, SV* R 86, KW97 48-20, AAVSO 2035+37A, 
IRAS20370-2858	 V* R Mic, CD-29 17235, GCRV 12937, GEN# +1.00196717, HD 196717, HIC 101985, HIP 101985, IRAS 20370-2858, 2MASS J20400299-2847311, PPM 736319, SV* HV 37, AAVSO 2034-29, 
IRAS20382+1316	 V* SS Del, IRAS 20382+1316, AAVSO 2035+13, 
IRAS20386+6751	 NAME LDN 1157 IRS, IRAS F20386+6751, IRAS 20386+6751, NAME LDN 1157-mm, RR98 HH 375 VLA 1, 
IRAS20392+1141	 V* Y Del, AN 15.1902, IRAS 20392+1141, IRC +10475, 2MASS J20413898+1152379, AAVSO 2036+11, 
IRAS20394+4554	 IRAS 20394+4554, 
IRAS20396+4757	 V* V Cyg, BD+47 3167a, C* 2923, Case 468, CGCS 4939, GC 28844, GCRV 12970, HIC 102082, HIP 102082, IRAS 20396+4757, IRC +50338, Kiso C3-46, LEE 327, 2MASS J20411826+4808288, MSB 39, NOVA Cyg 1974, RAFGL 2632, SAO 49940, SKY# 39194, KW97 48-29, LFO93 2039+47, AAVSO 2038+47, 
IRAS20403+3143	 PCC93 426, IRAS 20403+3143, 2MASS J20422048+3154303, 
IRAS20406+2953	IRAS 20406+2953, 
IRAS20407+1654	 V* S Del, BD+16 4351, CCDM J20431+1706A, DO 19287, GC 28867, GCRV 12984, GSC 01638-00307, HD 197420, HIC 102246, HIP 102246, IDS 20385+1643 A, IRAS 20407+1654, IRC +20477, 2MASS J20430489+1705173, SAO 106422, TYC 1638-307-1, YZ 16 8343, AAVSO 2038+16, 
IRAS20414+3524	 V* X Cyg, AG+35 2089, ALS 11506, BD+35 4234, GC 28886, GCRV 12989, GEN# +1.00197572, GSC 02695-04136, HD 197572, HIC 102276, HIP 102276, HR 7932, IRAS 20414+3524, LS II +35 79, 2MASS J20432419+3535161, MSX5C G076.8697-04.2618, PLX 4944, PPM 85419, ROT 3026, SAO 70423, SKY# 39281, TYC 2695-4136-1, uvby98 100197572 V, AAVSO 2039+35, 
IRAS20416+1903	 V* ES Del, GSC 01642-00636, IRAS 20416+1903, IRC +20479, RAFGL 2639, SV* SON 4518, AAVSO 2039+18, 
IRAS20417+3759	 V* DR Cyg, AN 238.1928, CSI+37-20418, GCRV 71373, IRAS 20417+3759, IRC +40443, SV* SVS 166, KW97 49-5, AAVSO 2039+37, 
IRAS20417-0500	 V* Y Aqr, BD-05 5359, IRAS 20417-0500, IRC -10546, RAFGL 4269, AAVSO 2039-05, 
IRAS20430+1612	 V* T Del, BD+15 4245a, CSI+15 4245 1, GC 28925, GCRV 13005, HD 197772, IRAS 20430+1612, IRC +20480, 2MASS J20452104+1623562, SAO 106456, AAVSO 2040+16, 
IRAS20431+1754	IRAS 20431+1754, U Del, 
IRAS20438-0415	 V* W Aqr, CSI-04-20438, DO 6971, GCRV 13016, IRAS 20438-0415, IRC +00489, 2MASS J20462508-0405005, RAFGL 2645, SV* HV 14, UCAC2 30446981, AAVSO 2041-04, 
IRAS20440+0412	 V* BR Del, AN 138.1935, CSI+04-20441, GCRV 71403, IRAS 20440+0412, 2MASS J20463316+0423364, SV* P 5458, TVH89 431, AAVSO 2041+04, 
IRAS20440-0105	 V* FP Aqr, GSC 05178-00116, IRAS 20440-0105, IRC +00490, IRC -00490, NSV 13284, RAFGL 2646, StM 527, UCAC2 31599871, LFO93 2044-01, AAVSO 2041-01, 
IRAS20443+0215	 V* V Aqr, AG+02 2640, BD+01 4359, DO 6975, EIC 836, GC 28964, GCRV 13024, GSC 00516-00877, HD 197942, HIC 102546, HIP 102546, IRAS 20443+0215, IRC +00491, 2MASS J20464936+0226152, PPM 170697, RAFGL 5541S, SAO 126200, SKY# 39388, TYC 516-877-1, YZ 2 7261, PCC93 427, AAVSO 2041+02, 
IRAS20450+8806	 V* X UMi, AN 114.1914, FBS 2045+881, FBS L 8-77, Hetzler VI 1, IRAS 20450+8806, AAVSO 2105+87, 
IRAS20453+6746	 V* PV Cep, HBC 696, IRAS 20453+6746, IRAS F20453+6746, PP 97, RNO 125, ARC92 PV Cep 1, BEA2001 PV Cep 1, K98c Em* 9, NS84 19, 
IRAS20454+1908	 V* V Del, BD+18 4620a, DO 19426, GCRV 13045, HD 198136, IRAS 20454+1908, IRC +20484, RAFGL 2654, SV* HV 15, AAVSO 2043+18, 
IRAS20460+3253	 IRAS 20460+3253, 2MASS J20480335+3305020, 
IRAS20469+3139	 V* AM Cyg, AN 17.1906, CSI+31-20469, GCRV 71492, HIC 102732, HIP 102732, IRAS 20469+3139, IRC +30455, 2MASS J20490085+3150558, RAFGL 2660, SV* HV 1191, AAVSO 2044+31, 
IRAS20473-0519	 V* T Aqr, AN 77.1937, BD-05 5390, GC 29038, GCRV 13069, GEN# +1.00198373, GSC 05186-00231, HD 198373, HIC 102829, HIP 102829, IRAS 20473-0519, 2MASS J20495640-0508477, PPM 204507, SAO 144854, SKY# 39530, TYC 5186-231-1, AAVSO 2044-05, 
IRAS20482+3325	 PCC93 430, IRAS 20482+3325, MS84 56, 
IRAS20502+4709	IRAS 20502+4709, RZ Cyg, 
IRAS20503+6006	 IRAS 20503+6006, 
IRAS20508+2011	 TYC 1655-558-1, GSC 01655-00558, IRAS 20508+2011, 2MASS J20530871+2022377, 
IRAS20516+2648	 IRAS 20516+2648, 
IRAS20520+6003	 IRAS 20520+6003, 2MASS J20531346+6014425, 
IRAS20523+5302	 V* V2323 Cyg, IRAS 20523+5302, 2MASS J20534801+5313586, NSV 25393, 
IRAS20525+1726	 V* X Del, AG+17 2287, BD+17 4452, DO 19638, GCRV 13132, HD 199170, IRAS 20525+1726, IRC +20492, PPM 139267, AAVSO 2050+17, 
IRAS20526+5958	 IRAS 20526+5958, 
IRAS20529+3013	 V* UX Cyg, AN 96.1901, BD+29 4231, DO 19656, GCRV 13139, GEN# +1.00199252, HD 199252, IRAS 20529+3013, IRC +30464, 2MASS J20550551+3024520, RAFGL 2677, D75 118, KW97 52-15, LFO93 2053+30, PCC93 433, TVH89 435, AAVSO 2050+30A, 
IRAS20531+2909	 IRAS 20531+2909, 
IRAS20547+0247	 V* U Equ, AN 84.1925, CGCS 6879, GSC2 N0310002221, GSC 00517-02470, IRAS 20547+0247, 2MASS J20571628+0258445, PCC93 434, 
IRAS20549+5245	 V* V2198 Cyg, IRAS 20549+5245, LD 308, 2MASS J20562425+5257009, 
IRAS20552+3301	 IRAS 20552+3301, 
IRAS20567+4727	 V* DH Cyg, AN 52.1926, IRAS 20567+4727, IRC +50352, RAFGL 5558S, SV* SVS 99, AAVSO 2055+47, 
IRAS20574+2616	 NAME NC 90, C* 3309, CGCS 5069, GSC 02180-01553, IRAS 20574+2616, 2MASS J20593683+2628342, V* V420 Vul, 
IRAS20581-1216	IRAS 20581-1216, DH Aqr, 
IRAS20593+4902	 IRAS 20593+4902, 
IRAS20593-2717	 V* RR Cap, CD-27 15202, GCRV 13206, HD 200128, IRAS 20593-2717, AAVSO 2056-27, 
IRAS20597+6800	 IRAS F20597+6800, IRAS 20597+6800, 
IRAS21000+3506	 V* V523 Cyg, IRAS 21000+3506, IRC +40461, 2MASS J21020505+3518475, SV* P 5504, SV* SVS 492, HG99 3, KW97 54-34, AAVSO 2058+34, 
IRAS21000+8251	 V* X Cep, BD+82 634a, CSI+82 634 2, GCRV 71911, GCRV 13214, HD 201305, IRAS 21000+8251, RAFGL 2690, AAVSO 2103+82, 
IRAS21008+4700	 IRAS 21008+4700, 2MASS J21023019+4712232, 
IRAS21017+6742	 2MASS J21022122+6754202, IRAS F21017+6742, IRAS 21017+6742, 
IRAS21021+2337	 V* R Vul, AG+23 2152, BD+23 4230, GC 29433, GCRV 13245, GSC 02173-00093, HD 200687, HIC 104015, HIP 104015, IRAS 21021+2337, 2MASS J21042249+2349181, PPM 112384, SAO 89429, SKY# 40056, TYC 2173-93-1, YZ 23 8075, AAVSO 2059+23A, 
IRAS21021+3330	 V* GQ Cyg, IRAS 21021+3330, 2MASS J21041171+3342570, SV* R 290, KW97 55-9, AAVSO 2100+33, 
IRAS21038+2912	 V* TW Cyg, AN 20.1900, BD+28 3986a, IRAS 21038+2912, IRC +30471, 2MASS J21055966+2924220, UCAC2 42147454, AAVSO 2101+29, 
IRAS21046-2407	 V* V Cap, CD-24 16479, GCRV 13275, HD 201015, HIC 104285, HIP 104285, IRAS 21046-2407, 2MASS J21073665-2355135, AAVSO 2101-24, 
IRAS21057-2132	 V* X Cap, BD-21 5934, IRAS 21057-2132, AAVSO 2102-21, 
IRAS21066+1549	 V* TZ Peg, AN 78.1911, CSI+15-21066, GCRV 71925, HD 201417, IRAS 21066+1549, SV* HV 3342, 
IRAS21070+5833	 V* UY Cep, AN 89.1920, Cl Trumpler 37 1132, IRAS 21070+5833, IRC +60304, AAVSO 2105+58, 
IRAS21071+0555	 V* RR Equ, CSI+05-21071, GCRV 71930, IRAS 21071+0555, SV* P 5531, SV* SVS 660, AAVSO 2104+05, 
IRAS21076+5322	IRAS 21076+5322, 
IRAS21078-1622	 V* Z Cap, BD-16 5811, GCRV 13304, GEN# +1.00358906, HD 358906, IRAS 21078-1622, 2MASS J21103752-1610251, PPM 238481, SAO 164193, YZ 106 7976, AAVSO 2105-16, 
IRAS21083-0413	 V* RS Aqr, BD-04 5381, GEN# -0.00405381, IRAS 21083-0413, 2MASS J21105813-0401402, PPM 708987, AAVSO 2105-04, 
IRAS21086+5238	IRAS 21086+5238, V2250 Cyg, 
